date,series,value,source,retrieved_at
2026-01-01,Bebidas alcohólicas y tabaco,7612.5319,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2026-02-01,Bebidas alcohólicas y tabaco,7659.9125,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2026-03-01,Bebidas alcohólicas y tabaco,7823.3561,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2026-04-01,Bebidas alcohólicas y tabaco,7969.9785,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2026-05-01,Bebidas alcohólicas y tabaco,8033.2555,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2022-01-01,Bienes y servicios varios,524.7001,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2022-02-01,Bienes y servicios varios,547.448,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2022-03-01,Bienes y servicios varios,577.6959,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2022-04-01,Bienes y servicios varios,608.0932,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2022-05-01,Bienes y servicios varios,635.8157,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2022-06-01,Bienes y servicios varios,667.7975,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2022-07-01,Bienes y servicios varios,721.9398,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2022-08-01,Bienes y servicios varios,784.4224,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2022-09-01,Bienes y servicios varios,837.7345,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2022-10-01,Bienes y servicios varios,889.2464,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2022-11-01,Bienes y servicios varios,941.1822,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2022-12-01,Bienes y servicios varios,995.2681,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2023-01-01,Bienes y servicios varios,1062.9991,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2023-02-01,Bienes y servicios varios,1131.9624,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2023-03-01,Bienes y servicios varios,1203.4429,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2023-04-01,Bienes y servicios varios,1282.7938,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2023-05-01,Bienes y servicios varios,1373.9512,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2023-06-01,Bienes y servicios varios,1464.0524,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2023-07-01,Bienes y servicios varios,1556.5397,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2023-08-01,Bienes y servicios varios,1702.3856,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2023-09-01,Bienes y servicios varios,1901.2072,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2023-10-01,Bienes y servicios varios,2046.9768,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2023-11-01,Bienes y servicios varios,2282.6739,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2023-12-01,Bienes y servicios varios,3029.3357,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2024-01-01,Bienes y servicios varios,4373.2672,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2024-02-01,Bienes y servicios varios,5098.6735,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2024-03-01,Bienes y servicios varios,5586.4345,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2024-04-01,Bienes y servicios varios,5903.8543,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2024-05-01,Bienes y servicios varios,6157.7063,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2024-06-01,Bienes y servicios varios,6327.35,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2024-07-01,Bienes y servicios varios,6545.9203,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2024-08-01,Bienes y servicios varios,6694.7187,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2024-09-01,Bienes y servicios varios,6918.4736,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2024-10-01,Bienes y servicios varios,7112.7304,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2024-11-01,Bienes y servicios varios,7275.1468,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2024-12-01,Bienes y servicios varios,7430.8945,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2025-01-01,Bienes y servicios varios,7614.4036,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2025-02-01,Bienes y servicios varios,7837.1446,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2025-03-01,Bienes y servicios varios,8084.5484,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2025-04-01,Bienes y servicios varios,8290.2259,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2025-05-01,Bienes y servicios varios,8504.0579,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2025-06-01,Bienes y servicios varios,8588.9464,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2025-07-01,Bienes y servicios varios,8772.9432,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2025-08-01,Bienes y servicios varios,8970.2821,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2025-09-01,Bienes y servicios varios,9162.4211,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2025-10-01,Bienes y servicios varios,9386.3089,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
