date,base_money,cpi_core,cpi_headline,cpi_regulated,cpi_seasonal,deposits_usd_priv,emae,embi,fiscal_financial,fiscal_primary,fx_blue,fx_ccl,fx_mep,fx_official_a3500,fx_official_retail,gdp_nominal,itcrm,m2_transac,rem_infl_12m,reserves_gross,infl_headline,infl_core,infl_regulated,infl_seasonal,gap_blue,gap_ccl,real_base,real_m2,phase,phase_label
2024-10-01,23196789.40909091,7366.7823,7313.9542,7009.2808,7581.5911,31390.227272727272,147.99465960461652,1101.0869565217392,523398.0000000056,746920.5000000056,1196.9565217391305,1192.5654545454545,1161.1009090909092,981.5681772727272,983.695652173913,709365943.3672845,84.04761409266104,35838771.06409091,31.8,28730.590909090908,2.6917380413114644,2.9178168076062105,2.6962073534600783,1.3624749810563275,21.943289264415288,21.495937027928115,317157.980140085,490005.40725413495,1,Crawling peg
2024-11-01,24696063.842105262,7566.7782,7491.4314,7257.6652,7490.4606,33491.10526315789,148.0693736646877,804.952380952381,357162.2000000003,1381545.4000000004,1127.142857142857,1138.804761904762,1106.0080952380952,1001.8377157894737,1000.5238095238095,,81.75131925199857,37725782.20852631,27.9,30382.473684210527,2.426556075508368,2.7148338562957175,3.5436502986155194,-1.201997031995028,12.507528852079574,13.671580132851634,329657.47830388276,503585.76611308637,1,Crawling peg
2024-12-01,27445682.42105263,7808.7094,7694.0075,7502.5373,7385.2224,31766.315789473683,148.56734585957747,691.5909090909091,-1557305.3000000007,-1301045.8000000007,1131.1363636363637,1127.1433333333332,1108.45,1020.7061421052632,1021.6136363636364,,79.79436249664096,42931135.707105264,24.8,31758.842105263157,2.704104051463374,3.197281506150129,3.3739790036057205,-1.4049630005396607,10.819002352952634,10.427799621988898,356715.0463663134,557981.4642383084,1,Crawling peg
2025-01-01,30246030.863636363,7995.938,7864.1257,7698.607,7411.5104,31580.772727272728,146.29581433061375,610.7391304347826,599753.1999999988,2434865.299999999,1217.0652173913043,1184.8981818181817,1164.7263636363637,1043.5643954545455,1041.1521739130435,723984891.7741555,79.70414300721214,45498510.984181814,22.0,30660.909090909092,2.2110480136651844,2.397689431239436,2.6133785432829404,0.355954073908471,16.625789715754614,13.543369913657832,384607.6730899198,578557.7789554129,1,Crawling peg
2025-02-01,30167635.2,8229.4476,8052.9927,7877.3099,7350.8325,30609.15,141.20217475797378,698.3,310726.2000000008,1176915.3000000007,1213.25,1204.5584210526315,1196.7705263157895,1058.4625,1057.975,,81.04384950046415,45285956.12975,21.8,28780.7,2.401627430751785,2.9203528091388264,2.321236815959038,-0.8186981698089513,14.623805755990404,13.802654421165727,374613.9643216118,562349.3999907636,1,Crawling peg
2025-03-01,30275196.111111112,8492.1966,8353.3158,8129.994,7971.2748,29678.5,150.40654121723682,753.95,398909.2999999981,745339.4999999981,1249.047619047619,1259.9035,1259.7504999999999,1069.0347222222222,1068.7142857142858,,80.50431552887554,46751532.55761111,24.4,27140.0,3.7293353066121693,3.1927902426889476,3.207746086008356,8.44043582818681,16.838826006624075,17.854310417627527,362433.27603047295,559676.3450223097,1,Crawling peg
2025-04-01,33066738.63157895,8765.1966,8585.6078,8273.8986,8121.3082,29691.947368421053,158.7410459584533,799.1818181818181,572340.9999999997,845949.0999999996,1259.7727272727273,1253.7795238095237,1248.3242857142857,1121.5679842105264,1122.2954545454545,833779385.5021062,82.33497743078274,47944073.853421055,24.4,32162.21052631579,2.7808358448509596,3.2147159664202674,1.7700455867495135,1.882175734300362,12.322457934592634,11.788098578086736,385141.49961030076,558423.7595085703,2,IMF crawling band
2025-05-01,34391114.8,8957.7912,8714.4871,8382.4957,7899.4762,30544.4,164.8778739250919,683.8095238095239,662122.8999999968,1696917.3999999966,1162.7272727272727,1174.3831818181818,1159.759090909091,1147.52916,1146.6363636363637,,83.90318978476711,47881519.16285,21.6,38283.75,1.5011086343823088,2.1972650333935473,1.3125263584931934,-2.731481117783463,1.3244206123069313,2.340160298687466,394643.016913755,549447.3583287535,2,IMF crawling band
2025-06-01,35977829.05263158,9111.304,8855.5681,8569.0645,7882.5607,30411.684210526317,156.59409988827613,688.1666666666666,551234.2000000004,790532.9000000004,1181.4285714285713,1191.298,1187.8764999999999,1181.3552631578948,1176.7380952380952,,86.12766513402256,50582482.068947375,21.08221905668179,39669.89473684211,1.6189248819933333,1.7137349662716073,2.225695147090878,-0.21413445109182971,0.006205438191431156,0.8416381720370181,406273.52922317403,571194.0950343702,2,IMF crawling band
2025-07-01,37741347.22727273,9246.0737,9023.973,8766.629,8201.9212,32242.909090909092,153.90797901553967,728.1904761904761,-168515.19999999832,1749385.500000002,1285.2173913043478,1275.3468181818182,1271.94,1267.022731818182,1259.304347826087,893277009.9832231,91.77506716003008,54064262.657954544,20.57552529929975,40307.90909090909,1.9016837553312849,1.4791483194941168,2.3055550579646145,4.051481646059529,1.436016815582808,0.6569800331594156,418234.2658524436,599118.1784115992,2,IMF crawling band
2025-08-01,43589875.4,9435.1467,9193.2441,9000.5641,8137.0132,32330.65,150.51267456824078,758.0952380952381,390300.5000000035,1556864.0000000035,1327.6190476190477,,,1329.537495,1322.357142857143,,95.05035718712709,52591081.60675,20.30491953389402,41682.7,1.8757935113502766,2.0449004208132004,2.668472682030898,-0.7913755621061114,-0.14429434206759684,,474151.18021286954,572062.2778497745,2,IMF crawling band
2025-09-01,41528713.95454545,9614.0254,9384.0922,9237.6711,8316.258,32593.68181818182,151.83947735250638,1089.909090909091,309623.40000000154,696965.1000000015,1409.7727272727273,1446.7090476190476,1432.7128571428573,1399.8977363636363,1397.8181818181818,,99.10374372619565,51823579.649636365,21.9,40097.09090909091,2.0759603239513646,1.895876192364887,2.6343571065729154,2.2028328527229135,0.7054080203559909,3.3439093470504444,442543.7545737824,552249.2591199857,2,IMF crawling band
2025-10-01,40475551.81818182,9827.1413,9603.8623,9474.6115,8548.5791,34877.86363636364,152.56490425090988,988.9565217391304,517671.7000000007,823924.8000000007,1461.7391304347825,1518.3390909090908,1498.6872727272728,1432.0227272727273,1436.3695652173913,939450203.4897724,98.90043990374059,52435751.12822728,20.6,41459.954545454544,2.3419431023919524,2.2167187118103504,2.5649365238821,2.79357735173682,2.075134884112484,6.027583361107136,421450.7721355169,545986.0782075903,2,IMF crawling band
2025-11-01,40850084.23529412,10086.4793,9841.3581,9748.309,8584.9379,35265.470588235294,147.69599372441905,630.35,599953.7999999947,2128009.399999995,1425.25,1496.7845,1465.9460000000001,1427.6176470588234,1430.125,,96.00929482580368,51816211.0497647,20.0,40807.470588235294,2.472919671078566,2.6389973653884624,2.8887464145627373,0.42531980548674575,-0.16584602072559074,4.844914398730915,415085.8430331289,526514.8419887769,2,IMF crawling band
2025-12-01,40850262.684210524,10392.4922,10121.3715,10069.0986,8637.1055,36415.47368421053,153.5212203973648,600.8260869565217,-3290301.900000005,-2876449.600000005,1466.5217391304348,1523.7845454545457,1483.0672727272727,1447.8377210526317,1446.695652173913,,94.68083344034739,57698221.04489473,20.52,42110.10526315789,2.8452719345717137,3.033892113375969,3.2907204726481343,0.6076642674375021,1.2904773653928059,5.2455343093767315,403604.0242590693,570063.2670670643,2,IMF crawling band
2026-01-01,43281362.666666664,10665.8531,10413.0309,10313.8016,9130.0503,37719.0,148.55280173083167,550.1363636363636,1105158.9999999988,3125737.299999999,1492.2727272727273,1518.2827272727272,1477.8527272727274,1449.334661904762,1447.3636363636363,,93.5377401830135,57893224.04019048,19.9,44839.90476190476,2.881619353661713,2.630369065853122,2.4302373998006166,5.707291638385126,2.962605290315401,4.757221860501937,415646.15607418073,555969.0026483114,3,Inflation-indexed band
2026-02-01,41873595.88888889,10993.8681,10714.6255,10752.23,9013.6124,38094.88888888889,138.34257152166515,520.85,144421.3000000068,1410639.7000000067,1426.0,1471.1655,1428.9055,1409.6571,1407.15,,90.0909726042808,56946482.314222224,21.85954688792685,45566.055555555555,2.896319072672693,3.0753751896320347,4.250890379741246,-1.2753259420706708,1.1593528667361852,4.363359004115264,390807.83447717223,531483.6464813653,3,Inflation-indexed band
2026-03-01,41119618.8,11344.4566,11077.0608,11298.7045,9107.887,38690.5,158.64871746521388,587.2727272727273,484789.0999999941,930284.099999994,1410.909090909091,1468.2480952380952,1421.7752380952381,1396.338715,1393.840909090909,,86.23360200387921,56867590.1881,23.6,44888.35,3.38262219244152,3.1889458451843655,5.082429412317269,1.0459136228223143,1.0434700228941773,5.149852214625095,371214.1654038768,513381.58393154264,3,Inflation-indexed band
2026-04-01,41183877.95,11603.8447,11363.0904,11828.0421,9103.5096,38881.25,,561.5454545454545,268102.9000000014,632844.1000000015,1397.9545454545455,1478.19,1424.2738095238096,1381.45228,1381.2045454545455,,84.66919155601471,56633626.68165,24.26203781121477,45405.9,2.5821795615674548,2.286474435452468,4.684940649611646,-0.04806164152015846,1.1945592108723035,7.002610325417824,362435.53910298913,498399.86032012914,3,Inflation-indexed band
2026-05-01,41363089.631578945,11824.7213,11607.3937,12111.4533,9420.5342,38949.63157894737,,521.0952380952381,,,1408.5714285714287,1485.9847619047619,1429.6938095238095,1397.2372368421052,1392.4761904761904,,84.14625957168462,58440497.96773685,23.26405879593121,46575.31578947369,2.1499723349908573,1.9034777326863095,2.396095631076589,3.4824437379623374,0.8111859196466842,6.351643280223107,356351.22492294665,503476.48643757857,3,Inflation-indexed band
